tau_over_spot,k,spread,contract,windows,trade_rate,buy_share_active,unconditional_pnl_over_spot,active_win_rate,mean_p_se_over_spot,mean_q_se_over_spot,mean_joint_se_over_spot
0.005,1.96,0.05,lookback_call,6824,0.11225087924970692,0.18407310704960836,0.0011157032747189674,0.5939947780678851,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.005,1.96,0.05,vanilla_call,6824,0.07444314185228605,0.6909448818897638,0.0034127196331540095,0.6476377952755905,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.0075,0.0,0.05,asian_call,6824,0.21995896834701056,0.7461692205196535,0.0046999377557579505,0.5882744836775483,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.0075,0.0,0.05,lookback_call,6824,0.45574443141852283,0.37041800643086814,0.0034459899820057645,0.5581993569131832,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.0075,0.0,0.05,vanilla_call,6824,0.42028135990621335,0.6154114365411436,0.010465524633270275,0.6000697350069735,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.0075,1.0,0.05,asian_call,6824,0.07371043376318874,0.8170974155069582,0.0022228479219572107,0.6003976143141153,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.0075,1.0,0.05,lookback_call,6824,0.19797772567409144,0.27239082161361955,0.002045192722121317,0.5751295336787565,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.0075,1.0,0.05,vanilla_call,6824,0.15577373974208675,0.6556914393226717,0.005675209579327857,0.6218250235183443,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.0075,1.96,0.05,asian_call,6824,0.0246189917936694,0.8690476190476191,0.0007268326415388155,0.48214285714285715,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.0075,1.96,0.05,lookback_call,6824,0.08206330597889801,0.17857142857142858,0.0010443528085374361,0.6017857142857143,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.0075,1.96,0.05,vanilla_call,6824,0.05451348182883939,0.7365591397849462,0.0028247856293724507,0.6451612903225806,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.01,0.0,0.05,asian_call,6824,0.1368698710433763,0.7815845824411135,0.003560107666972044,0.5974304068522484,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.01,0.0,0.05,lookback_call,6824,0.3503810082063306,0.33877038895859474,0.002814615162226293,0.5595984943538268,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.01,0.0,0.05,vanilla_call,6824,0.3094958968347011,0.6335227272727273,0.00912974820074239,0.6126893939393939,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.01,1.0,0.05,asian_call,6824,0.043522860492379835,0.8619528619528619,0.0012483228401279065,0.5488215488215489,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.01,1.0,0.05,lookback_call,6824,0.1462485345838218,0.22745490981963928,0.0017239750112382087,0.5831663326653307,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.01,1.0,0.05,vanilla_call,6824,0.11239742086752638,0.6988265971316818,0.004398476736054351,0.6166883963494133,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.01,1.96,0.05,asian_call,6824,0.016412661195779603,0.9375,0.0003878120418471265,0.41964285714285715,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.01,1.96,0.05,lookback_call,6824,0.05949589683470106,0.17980295566502463,0.0007657442512690938,0.5812807881773399,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.01,1.96,0.05,vanilla_call,6824,0.04044548651817116,0.8079710144927537,0.0025095842718640617,0.6884057971014492,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.0125,0.0,0.05,asian_call,6824,0.08411488862837045,0.8397212543554007,0.002659715621958441,0.6027874564459931,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.0125,0.0,0.05,lookback_call,6824,0.2700762016412661,0.3049376017362995,0.002508060680829014,0.5599565925122083,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.0125,0.0,0.05,vanilla_call,6824,0.23153575615474795,0.6575949367088607,0.007717322090511691,0.6170886075949367,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.0125,1.0,0.05,asian_call,6824,0.028868698710433762,0.9035532994923858,0.0009533343124374817,0.5126903553299492,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.0125,1.0,0.05,lookback_call,6824,0.10756154747948417,0.20844686648501362,0.0015461411608906682,0.5871934604904632,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.0125,1.0,0.05,vanilla_call,6824,0.08367526377491208,0.7355516637478109,0.003870609504886468,0.6322241681260946,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.0125,1.96,0.05,asian_call,6824,0.011137162954279016,0.9473684210526315,0.00015057089444316625,0.34210526315789475,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.0125,1.96,0.05,lookback_call,6824,0.04264361078546307,0.18213058419243985,0.0005286527189902819,0.5773195876288659,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.0125,1.96,0.05,vanilla_call,6824,0.03179953106682298,0.8617511520737328,0.0021718415375002902,0.6774193548387096,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.015,0.0,0.05,asian_call,6824,0.05553927315357562,0.8891820580474934,0.0019425032829968783,0.5936675461741425,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.015,0.0,0.05,lookback_call,6824,0.20603751465416179,0.2802275960170697,0.0025303050727647166,0.5704125177809388,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.015,0.0,0.05,vanilla_call,6824,0.17453106682297773,0.690176322418136,0.0065178584158116495,0.6154492023509656,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.015,1.0,0.05,asian_call,6824,0.021541617819460727,0.9319727891156463,0.000708278674926163,0.47619047619047616,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.015,1.0,0.05,lookback_call,6824,0.08294255568581477,0.2049469964664311,0.0011246384306807535,0.5777385159010601,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.015,1.0,0.05,vanilla_call,6824,0.06374560375146542,0.7793103448275862,0.0033693504204089916,0.6413793103448275,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.015,1.96,0.05,asian_call,6824,0.0076201641266119575,0.9807692307692307,3.355753729658927e-05,0.3076923076923077,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.015,1.96,0.05,lookback_call,6824,0.029454865181711608,0.18407960199004975,0.00042785657481091784,0.5671641791044776,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.015,1.96,0.05,vanilla_call,6824,0.025058616647127784,0.9122807017543859,0.0018605909312119345,0.6842105263157895,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.02,0.0,0.05,asian_call,6824,0.027989449003517,0.9214659685863874,0.0009303192682846783,0.5130890052356021,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.02,0.0,0.05,lookback_call,6824,0.12690504103165298,0.2528868360277136,0.001958476807753093,0.569284064665127,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.02,0.0,0.05,vanilla_call,6824,0.10507033997655334,0.7475592747559274,0.004584229536514768,0.6150627615062761,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.02,1.0,0.05,asian_call,6824,0.010844079718640093,0.972972972972973,0.00021829543512406273,0.3783783783783784,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.02,1.0,0.05,lookback_call,6824,0.0492379835873388,0.23214285714285715,0.0008928037465497894,0.5803571428571429,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.02,1.0,0.05,vanilla_call,6824,0.041178194607268466,0.8896797153024911,0.002772325067877313,0.6619217081850534,0.006575821863321489,0.003860223371594155,0.007700348601805544
0.02,1.96,0.05,asian_call,6824,0.003663540445486518,1.0,-1.3249732770171765e-05,0.28,0.0038236730308314026,0.001982245873053361,0.0043419682378325625
0.02,1.96,0.05,lookback_call,6824,0.015093786635404454,0.21359223300970873,0.0002299502565165276,0.5533980582524272,0.0063417937767439436,0.004052664535382487,0.007604779748810406
0.02,1.96,0.05,vanilla_call,6824,0.01787807737397421,0.9180327868852459,0.0011276696869840885,0.6639344262295082,0.006575821863321489,0.003860223371594155,0.007700348601805544
